ID,day,Gammaproteobacteria,Bacilli,Bacteroidia,Clostridia,Actinobacteria,Alphaproteobacteria,Deinococci
CMU_17_4,8,0.409635997,0.074923061,0.271357317,0.028653295,0.151437971,0.02239202,0.002016343
CMU_17_4,7,0.935552408,0.044688385,0.002195467,0.008215297,0.003186969,0.001274788,0.001699717
CMU_17_4,6,0.858549839,0.132025811,0,0.006155544,0.000382,0.000255,0
CMU_17_4,5,0.76052182,0.22810219,0.000893,0.006949837,0.000311,0.000505,0
CMU_17_4,4,0.841962658,0.105029804,0.001330115,0.03704616,0.005418986,0.001280851,0
CMU_17_4,3,0.741680987,0.142712076,0.006092798,0.058897047,0.028042493,0.006873926,0.000859
CMU_17_4,2,0.887072808,0.097870233,0.000644,0.012877662,0.000248,0.000347,0
CMU_17_4,1,0.662712321,0.282758156,0.002089512,0.039228903,0.002898355,0.002156916,0.000404
SHSU_2016_11,21,0.988203367,0.002492246,0.005482942,0.000498,0.001606114,0.000886,0
SHSU_2016_11,20,0.970152271,0.014485918,0.003570947,0.001280151,0.005255356,0.002695055,0
SHSU_2016_11,19,0.669851887,0.289440994,0.028666985,0.000382,0.001337793,0.003822265,0
SHSU_2016_11,18,0.725974148,0.064256276,0.202884976,0.000843,0.000703,0.001498689,0
SHSU_2016_11,17,0.632728592,0.068432511,0.278955007,0.004063861,0.002177068,0.004426705,0
SHSU_2016_11,16,0.674429303,0.152607671,0.1600253,0.000863,0.007302628,0.000748,0
SHSU_2016_11,15,0.689113803,0.109499522,0.143369461,0.023987887,0.0198438,0.000956,0
SHSU_2016_11,14,0.614420525,0.199203775,0.072766146,0.064730168,0.014523739,0.003612504,0
SHSU_2016_11,13,0.336752961,0.14954558,0.329798953,0.135775269,0.000757,0.003029468,0
SHSU_2016_11,12,0.423670458,0.133292346,0.272794344,0.120442668,0.010021519,0.002828159,0
SHSU_2016_11,11,0.581179653,0.157383701,0.162166079,0.050867108,0.021689773,0.002656876,0
SHSU_2016_11,10,0.555239787,0.158081705,0.111545293,0.059325044,0.01740675,0.037833037,0
SHSU_2016_11,9,0.610490308,0.249828962,0.007297605,0.06009122,0.024401368,0.01391106,0
SHSU_2016_11,8,0.393921467,0.238334689,0.062190342,0.200547216,0.022702063,0.031058197,0
SHSU_2016_11,7,0.660952184,0.18857792,0.012083032,0.042755344,0.068470515,0.005886605,0
SHSU_2016_11,6,0.378157504,0.271619614,0.035215453,0.086032689,0.08781575,0.08320951,0
SHSU_2016_11,5,0.631844987,0.117944398,0.047659165,0.053676736,0.042604405,0.065110122,0
SHSU_2016_11,4,0.785056157,0.121931535,0.042639048,0.020445222,0.004573273,0.009886341,0
SHSU_2016_11,3,0.633523977,0.236911571,0.02183238,0.034260889,0.043609767,0.018202816,0
SHSU_2016_11,2,0.727536232,0.10057971,0.010338164,0.014009662,0.033043478,0.086086957,0
SHSU_2016_11,1,0.615542893,0.157011713,0.01764799,0.042339348,0.042260209,0.081433998,0
